,country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,mean_tax_rate
23,Bolivia (Plurinational State of),25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
65,Greece,25.0,25.0,24.0,20.0,20.0,26.0,26.0,26.0,29.0,29.0,29.0,24.0,24.0,24.0,22.0,24.866666666666667
117,Malaysia,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.6
81,Israel,27.0,26.0,25.0,24.0,25.0,25.0,26.5,26.5,25.0,24.0,23.0,23.0,23.0,23.0,23.0,24.6
93,Libya,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,24.0
47,Ecuador,25.0,25.0,25.0,24.0,23.0,22.0,22.0,22.0,22.0,22.0,25.0,25.0,25.0,25.0,25.0,23.8
45,Denmark,25.0,25.0,25.0,25.0,25.0,25.0,24.5,23.5,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.466666666666665
148,Sweden,28.0,26.3,26.3,26.3,26.3,22.0,22.0,22.0,22.0,22.0,22.0,21.4,21.4,20.6,20.6,23.279999999999998
170,Yemen,35.0,35.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,23.0
53,Fiji,31.0,29.0,28.0,28.0,28.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.933333333333334
153,Thailand,30.0,30.0,30.0,30.0,23.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.866666666666667
27,Botswana,25.0,25.0,25.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.6
168,Viet Nam,28.0,25.0,25.0,25.0,25.0,25.0,22.0,22.0,22.0,20.0,20.0,20.0,20.0,20.0,20.0,22.6
